"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","123","579","12.3","57.9"
"scientific reasoning","122","19","79","15.573770491803279","64.75409836065575"
"textbook question answering","158","14","107","8.860759493670885","67.72151898734177"
"numeric commonsense","144","27","63","18.75","43.75"
"arithmetic reasoning","353","46","188","13.031161473087819","53.25779036827195"
"visual question answering","179","42","93","23.463687150837988","51.955307262569825"
"geometry reasoning","239","15","128","6.2761506276150625","53.55648535564853"
"algebraic reasoning","281","11","157","3.9145907473309607","55.871886120996436"
"geometry problem solving","208","10","109","4.807692307692308","52.40384615384615"
"math word problem","186","10","115","5.376344086021505","61.82795698924731"
"logical reasoning","37","1","4","2.7027027027027026","10.81081081081081"
"figure question answering","269","47","155","17.472118959107807","57.62081784386617"
"statistical reasoning","301","53","210","17.60797342192691","69.76744186046511"
