"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","402","740","40.2","74.0"
"scientific reasoning","122","76","92","62.295081967213115","75.40983606557377"
"textbook question answering","158","86","119","54.43037974683544","75.31645569620254"
"numeric commonsense","144","38","54","26.38888888888889","37.5"
"arithmetic reasoning","353","97","244","27.47875354107649","69.12181303116147"
"visual question answering","179","89","98","49.72067039106145","54.7486033519553"
"geometry reasoning","239","105","186","43.93305439330544","77.82426778242679"
"algebraic reasoning","281","130","217","46.263345195729535","77.22419928825623"
"geometry problem solving","208","97","165","46.63461538461539","79.32692307692307"
"math word problem","186","23","155","12.365591397849462","83.33333333333334"
"logical reasoning","37","9","14","24.324324324324326","37.83783783783784"
"figure question answering","269","107","203","39.77695167286245","75.46468401486989"
"statistical reasoning","301","111","255","36.87707641196013","84.71760797342192"
