"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","138","453","13.8","45.300000000000004"
"scientific reasoning","122","20","62","16.39344262295082","50.81967213114754"
"textbook question answering","158","13","81","8.227848101265822","51.26582278481012"
"numeric commonsense","144","34","42","23.61111111111111","29.166666666666668"
"arithmetic reasoning","353","56","139","15.864022662889518","39.376770538243626"
"visual question answering","179","56","69","31.28491620111732","38.547486033519554"
"geometry reasoning","239","16","128","6.694560669456067","53.55648535564853"
"algebraic reasoning","281","11","147","3.9145907473309607","52.313167259786475"
"geometry problem solving","208","11","116","5.288461538461538","55.769230769230774"
"math word problem","186","4","72","2.1505376344086025","38.70967741935484"
"logical reasoning","37","1","4","2.7027027027027026","10.81081081081081"
"figure question answering","269","54","115","20.074349442379184","42.75092936802974"
"statistical reasoning","301","57","165","18.93687707641196","54.81727574750831"
