"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","514","625","51.4","62.5"
"scientific reasoning","122","78","76","63.934426229508205","62.295081967213115"
"textbook question answering","158","90","102","56.9620253164557","64.55696202531645"
"numeric commonsense","144","56","61","38.88888888888889","42.36111111111111"
"arithmetic reasoning","353","139","194","39.376770538243626","54.95750708215298"
"visual question answering","179","101","100","56.424581005586596","55.865921787709496"
"geometry reasoning","239","92","144","38.49372384937239","60.25104602510461"
"algebraic reasoning","281","120","172","42.704626334519574","61.20996441281139"
"geometry problem solving","208","83","126","39.90384615384615","60.57692307692307"
"math word problem","186","59","112","31.72043010752688","60.215053763440864"
"logical reasoning","37","25","14","67.56756756756756","37.83783783783784"
"figure question answering","269","181","185","67.28624535315984","68.77323420074349"
"statistical reasoning","301","172","228","57.14285714285714","75.74750830564784"
