"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","278","792","27.800000000000004","79.2"
"scientific reasoning","122","49","97","40.16393442622951","79.50819672131148"
"textbook question answering","158","58","123","36.708860759493675","77.84810126582279"
"numeric commonsense","144","32","68","22.22222222222222","47.22222222222222"
"arithmetic reasoning","353","77","258","21.813031161473088","73.08781869688386"
"visual question answering","179","73","110","40.78212290502793","61.452513966480446"
"geometry reasoning","239","55","204","23.01255230125523","85.35564853556485"
"algebraic reasoning","281","73","237","25.97864768683274","84.34163701067615"
"geometry problem solving","208","49","181","23.557692307692307","87.01923076923077"
"math word problem","186","17","151","9.13978494623656","81.18279569892472"
"logical reasoning","37","1","19","2.7027027027027026","51.35135135135135"
"figure question answering","269","81","227","30.111524163568777","84.38661710037175"
"statistical reasoning","301","91","275","30.23255813953488","91.36212624584718"
